,0,1,2,3,4,5,6,7,8,9,10,11,12,13
vol,40.0,60.0,80.0,100.0,120,140.0,160.0,180.0,200.0,220.0,240.0,260.0,280.0,300.0
vol_factor,1.442,1.259,1.145,1.063,1,0.95,0.908,0.874,0.843,0.817,0.794,0.773,0.754,0.737
